P-0 sweep for 5x10 pentomino with 10-of-12 subsets
Cap: 100000, total combos: 66, total time: 7683.8s

  excluded ['I', 'Y']: pieces=['F', 'L', 'N', 'P', 'T', 'U', 'V', 'W', 'X', 'Z'], tilings=56 
  excluded ['P', 'T']: pieces=['F', 'I', 'L', 'N', 'U', 'V', 'W', 'X', 'Y', 'Z'], tilings=48 
  excluded ['N', 'Y']: pieces=['F', 'I', 'L', 'P', 'T', 'U', 'V', 'W', 'X', 'Z'], tilings=44 
  excluded ['U', 'V']: pieces=['F', 'I', 'L', 'N', 'P', 'T', 'W', 'X', 'Y', 'Z'], tilings=40 
  excluded ['L', 'Z']: pieces=['F', 'I', 'N', 'P', 'T', 'U', 'V', 'W', 'X', 'Y'], tilings=40 
  excluded ['L', 'N']: pieces=['F', 'I', 'P', 'T', 'U', 'V', 'W', 'X', 'Y', 'Z'], tilings=40 
  excluded ['P', 'U']: pieces=['F', 'I', 'L', 'N', 'T', 'V', 'W', 'X', 'Y', 'Z'], tilings=36 
  excluded ['L', 'T']: pieces=['F', 'I', 'N', 'P', 'U', 'V', 'W', 'X', 'Y', 'Z'], tilings=28 
  excluded ['F', 'L']: pieces=['I', 'N', 'P', 'T', 'U', 'V', 'W', 'X', 'Y', 'Z'], tilings=20 
  excluded ['V', 'Y']: pieces=['F', 'I', 'L', 'N', 'P', 'T', 'U', 'W', 'X', 'Z'], tilings=16 
  excluded ['P', 'V']: pieces=['F', 'I', 'L', 'N', 'T', 'U', 'W', 'X', 'Y', 'Z'], tilings=16 
  excluded ['L', 'Y']: pieces=['F', 'I', 'N', 'P', 'T', 'U', 'V', 'W', 'X', 'Z'], tilings=12 
  excluded ['L', 'V']: pieces=['F', 'I', 'N', 'P', 'T', 'U', 'W', 'X', 'Y', 'Z'], tilings=8 
  excluded ['L', 'P']: pieces=['F', 'I', 'N', 'T', 'U', 'V', 'W', 'X', 'Y', 'Z'], tilings=8 
  excluded ['P', 'Y']: pieces=['F', 'I', 'L', 'N', 'T', 'U', 'V', 'W', 'X', 'Z'], tilings=4 
  excluded ['N', 'P']: pieces=['F', 'I', 'L', 'T', 'U', 'V', 'W', 'X', 'Y', 'Z'], tilings=4 
  excluded ['I', 'P']: pieces=['F', 'L', 'N', 'T', 'U', 'V', 'W', 'X', 'Y', 'Z'], tilings=4 
  excluded ['I', 'L']: pieces=['F', 'N', 'P', 'T', 'U', 'V', 'W', 'X', 'Y', 'Z'], tilings=4 
  excluded ['F', 'P']: pieces=['I', 'L', 'N', 'T', 'U', 'V', 'W', 'X', 'Y', 'Z'], tilings=0 
